# Forming limit curve, true strains (minor, major).
# Source: P. Heinzelmann, LS-Dyna calculated FLD curve, CRLCS t=0.8 mm, n=0.21.
minor,major
-0.3566749439,0.6554784253
-0.3285040670,0.6262160044
-0.3011050928,0.5972719892
-0.2744368457,0.5687005757
-0.2484613593,0.5405594405
-0.2231435513,0.5129097153
-0.1984509387,0.4858159127
-0.1743533871,0.4593457949
-0.1508228897,0.4335701775
-0.1278333715,0.4085626621
-0.1053605157,0.3843992900
-0.0833816089,0.3611581137
-0.0618754037,0.3389186806
-0.0408219945,0.3177614294
-0.0202027073,0.2977669991
0.0000000000,0.2790154565
0.0198026273,0.2905646049
0.0392207132,0.3014751599
0.0582689081,0.3117664132
0.0769610411,0.3214561245
0.0953101798,0.3305606365
0.1133286853,0.3390949761
0.1310282624,0.3470729461
0.1484200051,0.3545072063
0.1655144385,0.3614093451
0.1823215568,0.3677899450
0.1988508587,0.3736586392
0.2151113796,0.3790241633
0.2311117210,0.3838944006
0.2468600779,0.3882764218
0.2623642645,0.3921765210
